Priority_Rank,S.No,Item name,Brand_Name,Category,Sub_Category,Ingredients,Serving_Size_g,Sugar_g,Total_Fat_g,OFF_UK_Barcode,OFF_UK_Match_Found_Y_N,Indian_Label_Verified_Y_N,Verification_Source_URL,Notes
11,771,Bournvita Chocolate,CADBURY,INSTANT FOOD,MALT,"Cereal Extract 56% (Barley, Millets, Wheat), Sugar, Cocoa Solids, Maltodextrin, Colour (150C), Minerals, Wheat Gluten, Liquid Glucose, Emulsifiers (322, 471), Milk Solids, Vitamins, Raising Agent (500(I), Flavours (Natural, Nature Identical, Artificial (VANILLA CAKE) Flavouring Substances), and Iodised Salt",100.0,46,1.8,,,,,
12,451,Cadbury 5 Star 3D CHOCOLATE BAR,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Sugar, Liquid Glucose, Milk Solids (14%), Hydrogenated Vegetable Fat, Cocoa Solids (6%), Rice Crispies (2.8%), Cocoa Butter, Edible Salt, Hydrolysed Vegetable Protein [1, 4, 5, 8]. Centre filling 67%*- Sugar, liquid Glucose, Hydrogenated Vegetable Fat, Milk Solids, Wheat Crispies 5%(Refined Wheat Flour, Sugar, Corn Starch, Edible Salt, Palm Kernel Oil, Leavening Agents (450(i), 500(ii),341 (i)), Edible Vegetable Fat, Invert Sugar, Cocoa Solids, Humectant (422), Emulsifiers (322, 471), Lactose, Edible Salt . Milk Chocolate 33% - Sugar, Cocoa Butter, Milk Solids, Lactose, Cocoa Solids, Emulsifiers (442, 476). CONTAINS ADDED FLAVOUR (NATURAL , NATURE IDENTICAL AND ARTIFICIAL (CARAMEL AND ETHYL VANILLIN) FLAVOURING SUBSTANCES) .",100.0,49.2,27,,,,,
13,358,Cadbury 5 Star CHOCOLATE BAR,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Sugar Boiled Confectionery. Ingredients: Sugar, Liquid Glucose, Milk Solids, Invert Sugar, Hydrogenated Oil, Cocoa Solids, Cocoa Butter, Fractionated Fat, Emulsifiers (442, 471, 476), Hydrolyzed Vegetable Protein, Iodised Salt, Flavours (Natural, Nature Identical And Artificial (Milk, Caramel And VANILLA CAKE) Flavouring Substances). Allergen Information: Contains Milk, Soy, Sulphites. May Contain Peanut, Wheat, Barley And Tree Nut.",100.0,55.5,15.9,,,,,
14,406,Cadbury Bournville Rich Cocoa 50% Dark CHOCOLATE BAR,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Sugar, Cocoa Butter (29%), Cocoa Solids (22%), Milk Solids, Emulsifiers (442, 476), Nature Identical Flavoring Substances",100.0,45.1,34.3,,,,,
15,493,Cadbury Choclairs Gold Candy,CADBURY,CHOCOLATE,CANDY,"Liquid Glucose, Sugar, Hydrogenated Vegetable Oil, Milk Solids, Edible Vegetable Oils (Rice Bran Oil, Palmolein, Palm Kernel Oil), Cocoa Solids (1.4%*), Humectant (422), Emulsifiers (471,442,476), Stabilizer (414), Iodised Salt, Flavours (Natural, Nature Identical and Artificial (Caramel and VANILLA CAKE) Flavouring Substances)",100.0,47.5,15.7,,,,,
16,376,Cadbury Dairy Milk Bites Hazelnut Chocolate Pack,CADBURY,CHOCOLATE,CHOCOLATE,"Milk Chocolate (Sugar, Milk Solids, Cocoa Butter, Cocoa Solids, Fractionated Fat, Emulsifiers (442, 476), Natural Flavours, Nature Identical and Artificial VANILLA CAKE Flavouring), Hazelnuts, Glazing Agent (904), Stabilizers (414, 1400), Sugar, Liquid Glucose",100.0,42.1,37.8,,,,,
17,356,Cadbury Dairy Milk Chocolate Bar,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Sugar, Milk Solids (23%), Cocoa Butter, Cocoa Solids, Emulsifiers (442, 476), Flavours (Natural, Nature Identical, and Artificial VANILLA CAKE)",100.0,57,29,,,,,
18,365,Cadbury Dairy Milk Crispello CHOCOLATE BAR,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Milk Chocolate 50%- Sugar, Milk Solids (11%), Cocoa Butter, Cocoa Solids, Emulsifiers (442, 476), Flavours (Natural, Nature Identical and Artificial (VANILLA CAKE) Flavouring Substances), Centre 50%- Sugar, Fractionated Fat, Wheat Crispies 11% (Refined Wheat Flour (Maida), Sugar, Corn Starch, Cocoa Solids, Iodised Salt, Palm Kernel Oil, Leavening Agents (450(I), 500(I), 341(I))), Corn Starch, Cocoa Solids, Emulsifiers (442, 476), Iodised Salt, and Artificial (VANILLA CAKE) Flavouring Substances",100.0,50.2,27.6,,,,,
19,362,Cadbury Dairy Milk Fruit & Nut CHOCOLATE BAR,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Sugar, Milk Solids (18%), Cocoa Butter, Dry Fruit (Raisins (10%)), Cocoa Solids, Almonds (9%), Fractionated Fat, Emulsifiers (442, 476), Flavours (Natural, Nature Identical and Artificial (VANILLA CAKE) Flavouring Substances). Contains Cocoa Butter Equivalent In Addition To Cocoa Butter",100.0,54.4,28.4,,,,,
20,394,Cadbury Dairy Milk Lickables Chocolate with Oreo Chunks,CADBURY,CHOCOLATE,CHOCOLATE,"Sugar, Palm Superolein, Milk Solids (11%), Biscuit 10% (Refined Wheat Flour (Maida), Sugar, Palmolein, Invert Sugar, Cocoa Solids, Leavening Agents (500)(i), 503(i), lodised Salt, Emulsifier (322), Flavours (Artificial (VANILLA CAKE) Flavouring Substances)), Cocoa Solids, Wheat crispies 5%* (Refined Wheat Flour (Maida), Sugar, Starch, lodised Salt, Cocoa Powder, Palm Kernel Oil, Leavening Agents (450 (1), 500(i), 341 (1))), Mineral, Stabilizing Agent (1400), Hydrogenated Vegetable Fat, Emulsifiers (442, 476), Flavours (Natural, Nature Identical, Artificial (Caramel and VANILLA CAKE) Flavouring Substances)",100.0,48.8,25.9,,,,,
21,379,Cadbury Dairy Milk Silk Bubbly CHOCOLATE BAR,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Sugar, Milk Solids (25%), Cocoa Butter, Cocoa Solids, Emulsifiers (442, 476), Flavours (Natural, Nature Identical, and Artificial (VANILLA CAKE) Flavouring Substances)",100.0,55.3,31.4,,,,,
22,380,Cadbury Dairy Milk Silk CHOCOLATE BAR,CADBURY,CHOCOLATE,CHOCOLATE,"Sugar, Milk Solids, Cocoa Butter, Cocoa Solids, Emulsifiers (442, 476), Natural Flavours, Nature Identical and Artificial VANILLA CAKE Flavouring Substances",100.0,55.3,31.4,,,,,
23,373,Cadbury Dairy Milk Silk Desserts Brownie CHOCOLATE BAR,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Milk Chocolate (60%)- Sugar, Milk Solids, Cocoa Butter, Cocoa Solids, Emulsifiers (442, 476), Flavours (VANILLA CAKE); Centre (40%)- Walnuts (7%), Fractionated Fat, Sugar, Refined Wheat Flour (Maida), Cocoa Solids, Milk Solids, Interesterified Fat, Humectant (422), Water, Palmolein, Emulsifiers (322, 442, 476), Invert Sugar, Flavours (Brownie, VANILLA CAKE), Raising Agents (500(ii), 503(ii)), Iodized Salt, Antioxidant (307c)",100.0,40.6,36.3,,,,,
24,397,Cadbury Dairy Milk Silk Desserts Plum Cake CHOCOLATE BAR,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Milk Chocolate (60%)- Sugar, Mik Solids (15%) Cocoa Butter Cocoa Solids, Emulsifiers (442, 476), Flavours (Natural, Nature Identical and Artificial (VANILLA CAKE) Flavouring Substances); Centre (40%)- Apple Orange Pieces (7%) (Invert Syrup, Humectant (422), Apple Puree Concentrate (1%) Liqud Glucose, Sugar, Wheat Fibre, Orange Juice Concentrate (0.4%) Refined Palm Oil Thickening Agent (440), Acidity Regulator (330), Flavour (Natural (Orange) Flavouring Substances), Colour (100)). Fractionated Fat Sugar Refined Wheat Flour (Maida), Cocoa Solids, Milk Solids, Interesterified Fat, Humectant (422), Water, Palmolein, Emulsifiers (322, 442, 476), Invert Syrup. Flavours (Natural (Plum Cake), Nature Identical and Artificial (VANILLA CAKE) Flavouring Substances), Lodized Salt, Raising Agents (500(Ii), 503()), and Antioxidant (307C)",100.0,43.9,32.6,,,,,
25,392,Cadbury Dairy Milk Silk Hazelnut CHOCOLATE BAR,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Sugar, Milk Solids (21%), Hazelnuts (16%), Cocoa Butter, Cocoa Solids, Emulsifiers (442, 476), Flavours (Natural, Nature Identical, and Artificial VANILLA CAKE)",100.0,46.6,36.8,,,,,
26,382,Cadbury Dairy Milk Silk Mousse CHOCOLATE BAR,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Milk Chocolate 55%- Sugar, Milk Solids (13%), Cocoa Butter, Cocoa Solids, Emulsifiers (442, 476), Flavours (Natural, Nature Identical and Artificial (VANILLA CAKE) Flavouring Substances) Centre Filling 45%: Fractionated Fat, Sugar, Cocoa Solids, Milk Solids, Emulsifier (442), Flavour (Artificial (VANILLA CAKE) Flavouring Substances)",100.0,46.1,35.1,,,,,
27,368,Cadbury Dairy Milk Silk Oreo CHOCOLATE BAR,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Milk Chocolate (50%)- Sugar, Milk Solids (13%), Cocoa Butter, Cocoa Solids, Emulsifiers (442, 476), Flavours (Natural, Nature Identical and Artificial (VANILLA CAKE) Flavouring Substances); Centre (50%)- Fractionated Fat, Biscuit 13% (Refined Wheat Flour (Maida), Sugar, Palmolein, Invert Sugar, Cocoa Solids, Leavening Agents (500(ii), 503(ii)), Iodised Salt, Emulsifier (322), Flavours (Artificial (VANILLA CAKE) Flavouring Substances)), Sugar, Milk Solids, Emulsifier (442), Flavours (Artificial (VANILLA CAKE) Flavouring Substances)",100.0,48.9,34.8,,,,,
28,455,Cadbury Fuse Mini Treats Chocolate Pack,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Centre Filling 72%- Peanuts (19%), Sugar, Interesterified Vegetable Fat, Liquid Glucose, Milk Solids,Hydrogenated Vegetable Oil, Cocoa Solids, Invert Sugar. Humectant (422), Iodised Salt, Emulsifiers (322, 471), Flavours (Nature Identical And Artificial (VANILLA CAKE) Flavouring Substances) Milk Chocolate 28% -Sugar, Cocoa Butter, Mik Solids (4%), Lactose, Cocoa Solids, Fractionated Fat, Emulsifiers (442, 476), Flavours (Natural, Nature Identical And Artificial (VANILLA CAKE And Caramel) Flavouring Substances). Allergen Information: Contains Milk, Peanut, Soy And Sulphites. May Contain Wheat And Barley.",100.0,2.2,33.1,,,,,
29,452,Cadbury Gems Chocolate Mini Treats Pack,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Cocoa Solids (8%), Colours (102, 110, 122, 124, 127, 132, 133, and 171), Emulsifiers (414, 442, and 476), Flavours Natural, Nature Identical, and Artificial (Caramel and VANILLA CAKE) Flavouring Substances, Glazing Agent (903), Hydrogenated Oils, Liquid Glucose, Milk Solids, Refined Wheat Flour (Maida), and Sugar",100.0,70.77,17.5,,,,,
30,405,Cadbury Gems Surprise Ball Chocolate,CADBURY,CHOCOLATE,CHOCOLATE,"Sugar, Hydrogenated Oils, Milk Solids, Cocoa Solids (8%*), Refined Wheat Flour (Maida), Emulsifiers (414, 442, 476), Colours (171, 102, 133, 124, 127, 122, 132, 110), Glazing Agent (903), Liquid Glucose, Flavours (Natural, Nature Identical and Artificial (Caramel and VANILLA CAKE) Flavouring Substances)",100.0,70.8,17.5,,,,,
31,370,Cadbury Nutties Chocolate,CADBURY,CHOCOLATE,CHOCOLATE,"Center (56%) (Sugar, Cashews (11%), Milk Solids, Glazing Agent (904), Stabilizers (1400, 414), lodised Salt, Flavours (Natural and Nature Identical Flavouring Substances), Emulsifier (442), Almond); Milk Chocolate (44%) (Sugar, Milk Solids (9%), Cocoa Butter, Cocoa Solids, Fractionated Fat, Emulsifiers (442, 476), Flavours (Natural, Nature Identical and Artificial (VANILLA CAKE) Flavouring Substances))",100.0,61.5,24.8,,,,,
32,588,Cadbury Oreo Original Chocolatey Sandwich Biscuits,CADBURY,BISCUIT,CREAM BISCUIT,"Refined Wheat Flour (Maida), Sugar, Fractionated Fat, Palmolein, Invert Sugar, Cocoa Solids (2%*), Leavening Agents [500(ii), 503(ii)], Starch, lodised Salt, Emulsifier (322), Nature Identical Flavouring Substances. Allergen Information: Contains Wheat, Sulphite, Soy. May Contain Milk and Barley.",100.0,38.9,19.6,,,,,
33,457,Cadbury Perk Mini Treats Chocolate coated Wafers,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Sugar, Interesterified Vegetable Fat, Refined Wheat Flour (Maida), Milk Solids, Starch, Cocoa Solids (5%), Palmolein, Emulsifiers (442, 322, 476), Iodised Salt, Yeast, Flavours (Natural, Natural Identical and Artificial (Caramel and VANILLA CAKE) Flavouring Substances), Raising Agent (500(ii)), Improver (1101(i))",100.0,44.4,24.3,,,,,
34,270,"Cheetos Masala PUFFS, Crispy Chips & Snacks",CHEETOS,SNACKS,CHIPS,"Corn meal, Rice meal, Edible Vegetable Oil (Palmolein), Gram meal, Seasoning (Spices and Condiments, Iodised Salt, Black salt, Flavour, Maltodextrin, Tomato powder, Sugar, Acidity Regulator), Wheat fibre",100.0,1.6,23.1,,,,,
35,113,Coca-Cola Zero Sugar Soft Drink,COKE ZERO,JUICE,SODA,"Carbonated water, acidity regulators 338, acidity regulators 331(iii), sweeteners 955, sweeteners 950, preservative (211), caffeine (9.2 mg/100g), colour (150d), flavours (natural flavoring substances)",100.0,0,0,,,,,
36,364,Confetteria Raffaello Coconut and White Almond,CONFETTERIA RAFFAELLO,CHOCOLATE,CHOCOLATE,"Desiccated Coconut, Palm Oil, Sugar, Almond, Skimmed Milk Powder, Whey Powder, Shea Butter, Refined Wheat Flour (Maida), Tapioca Starch, Nature Identical Flavouring Substances, Emulsifier (Lecithin - INS 322), Raising Agent (INS 500ii), Edible Common Salt",100.0,33.6,48.3,,,,,
37,161,Del Monte Green Apple Fruit Drink Crisp,DEL MONTE,JUICE,FRUIT BEVERAGE,"Acidity Regulators (INS 296, INS 330), Apple Juice (Reconstituted From Apple Juice Concentrate) (30%), Iodized Salt, Sugar, Water",100.0,11.3,0,,,,,
38,661,Del Monte Penne Rigate Pasta Durum Wheat,DEL MONTE,INSTANT FOOD,PASTA,Durum Wheat Semolina,100.0,3.2,1.2,,,,,
39,669,Del Monte Sliced Black Olives,DEL MONTE,INSTANT FOOD,PICKLE,"Olives (48.5%), Water, Iodized Salt, Color Retention Agent (Ins 579)",100.0,0,13,,,,,
40,561,Doritos Dinamita Fiery Lime & Chilli Flavour Namkeen,DORITOS,SNACKS,CHIPS,"Corn (77%), Edible Vegetable Oil (Palmolein Oil), *Seasoning (Maltodextrin, lodised Salt), Flavour (Natural & Nature Identical Flavouring Substances), ""Spices & Condiments, Hydrolysed Vegetable Protein, Colour (162), Sugar, Flavour Enhancers (627,631), Anticaking Agent(551), Milk Solids, Dextrin & Edible Vegetable Oil (Palm & Sunflower Oil), Color (124)",100.0,2.3,26,,,,,
41,745,Dr. Oetker FunFoods Pizza Topping All-in-One Sauce,DR OETKER,SAUCE,SAUCE,"Water, Tomato Paste (26%), Sugar, Refined Soybean Oil, Milk Solids, Onions, Iodised Salt, Vegetables (2.9%), Mixed Spices, Cheese (1%), Acidity Regulators (INS 260, INS 330), Herb, Antioxidant (INS 319)",208.6,19.3,1.8,,,,,
42,763,Dr. Oetker Funfoods Stripes - Mayo & Ketchup,DR OETKER,SPREAD,MAYO AND KETCHUP,"Refined Soybean Oil, Water, Tomatoes (19.5%), Sugar, Milk Solids, Iodised Salt, Thickeners (INS 415, INS 1422, INS 1442, INS 407), Acidity Regulators (INS 260, INS 330, INS 300), Edible Starch, Lemon Juice, Preservatives (INS 211, INS 202), Mixed Spices, Nature-Identical Flavouring Substances, Antioxidant (INS 319), Sequestrant (INS 385)",100.0,9.1,51,,,,,
43,253,Dr. Oetker Kuppies Chocolate Waffle,DR OETKER,WAFFLE,WAFFLE,"Sugar, Whole Eggs, Refined Soyabean Oil, Refined Wheat Flour (Maida), Water, Humectants (Sorbitol, Glycerol), Cocoa Solids (3.9%), Soya Flour, lodised Salt, Emulsifiers (Mono-and Diglycerides of Fatty Acids. Lecithin), Acidity Regulators (Sodium Acetate, Acetic Acid). Preservatives (Sodium Propionate, Potassium Sorbate). Raising Agent (Ammonium Bicarbonate), Nature-Identical Flavouring Substances. CONTAINS ECC, WHEAT AND SOY.",100.0,23.9,30.7,,,,,
44,256,Dr. Oetker Kuppies Strawberry Waffle,DR OETKER,WAFFLE,WAFFLE,"Refined Soyabean Oil, Whole Eggs, Sugar, Refined Wheat Flour (Maida), Water, Humectants (Sorbitol, Glycerol), Soya Flour, Strawberry Powder (1.5%), Nature-Identical Flavouring Substances, lodised Salt, Emulsifiers (Mono-and Diglycerides of Fatty Acids, Lecithin), Acidity Regulators (Sodium Acetate, Acetic Acid), Preservatives (Sodium Propionate, Potassium Sorbate), Raising Agent (Ammonium Bicarbonate).",100.0,24.6,30.6,,,,,
45,757,Oetker FunFoods Pesto Italian Sauce,DR OETKER,SPREAD,BASIL PISTO  DIP,"Basil Leaves (31%), Refined Soybean Oil, Cashew Nuts, Parmesan Cheese, Olive Oil, Lemon Juice, Olives, Garlic, Iodised Salt, Sugar, Antioxidants (INS 300, INS 319), Acidity Regulator (INS 330), Preservatives (INS 211, INS 202)",100.0,2.5,6,,,,,
46,179,Dr Pepper Sparkling Fruit Flavour Soft Drink,DR PEPPER,JUICE,SODA,"Carbonated Water, Sugar, Colour (Caramel E150d), Phosphoric Acid, Sweeteners Aspartame,Sweeteners Acesulfame K, Preservative (Potassium Sorbate), Flavourings Including Caffeine",100.0,4.9,0,,,,,
47,166,Fanta Orange Flavoured Soft Drink,FANTA,JUICE,SODA,"Carbonated Water, Sugar, Acidity Regulator (INS 330), Stabilizers INS 414,Stabilizers INS 445, Preservative (INS 211), Colour (INS 110), Flavours (Natural and Nature-identical Flavouring Substances)",100.0,13.7,0,,,,,
48,357,Ferrero Rocher,FERRERO ROCHER,CHOCOLATE,MILK CHOCOLATE,"Milk Chocolate (30%) Sugar, Cocoa Butter, Cocoa Mass, Skimmed Milk Powder, Anhydrous Milkfat, Emulsifier Lecithin - Ins 322, Nature Identical Flavouring Substance - Vanillin), Hazelnuts (28.5%), Sugar, Palm Oil, Refined Wheat Flour Maida, Whey Powder, Low Fat Cocoa Powder, Emulsifier Lecithin Ins 322), Raising Agent (Ins 500Ii), Edible Common Salt, Nature Identical Flavouring Substance Vanillin",100.0,39.9,42.7,,,,,
49,462,Ferrero Rocher Moments Pack,FERRERO ROCHER,CHOCOLATE,CHOCOLATE BAR,"Sugar, Skimmed Milk Powder (11.5%), Hazelnuts (10.9%), Palmolein, Refined Wheat Flour (Maida), Refined Salseed Fat, Low Fat Cocoa Powder (5%), Palm Oil, Wheat Starch, Sunflowerseed Oil (High Oleic Acid), Whey Protein Concentrate, Emulsifier (Lecithin - Ins 322), Powdered Barley Malt Extract, Raising Agents (Ins 503ii, Ins 500ii), Contains Added Flavours (Nature-identical Flavouring Substances), Iodized Salt",100.0,44.5,29.8,,,,,
50,360,Galaxy Cookie Crumble CHOCOLATE BAR,GALAXY,CHOCOLATE,CHOCOLATE BAR,"Milk chocolate (90%): sugar, milk solids, cocoa butter, cocoa solids, edible vegetable fats less than 5% (sal fat, palm oil), emulsifiers (322, 476), humectant (422). Cookies (10%): refined wheat flour (maida), sugar, edible vegetable fat (palm oil), fat reduced cocoa powder, butter, skimmed milk powder, liquid glucose, raising agents (503(ii), nature identical flavour. Contains vegetable addition to cocoa butter.",100.0,50.6,30.6,,,,,
51,378,"Galaxy Fusions Silky Smooth Dark CHOCOLATE BAR, Made with 70% Cocoa",GALAXY,CHOCOLATE,CHOCOLATE BAR,"Cocoa mass, Sugar, Cocoa butter, Emulsifiers: ins 322 (lecithin), Natural flavor: VANILLA CAKE, Cocoa content: Total cocoa content: 70%",100.0,27,43.1,,,,,
52,361,Galaxy Smooth Milk CHOCOLATE BAR,GALAXY,CHOCOLATE,CHOCOLATE BAR,"Sugar, Milk Solids, Cocoa Butter, Cocoa Solids, Edible Vegetable Fats, Humectant (422), Emulsifiers (322, 476)",100.0,48.3,32.2,,,,,
53,192,Gatorade Blue Bolt Zero Sugar Energy Drink,GATORADE,JUICE,SODA,"Water, Sugar (5.4%), Dextrose, Acidity Regulator (330), Mineral Salts, Flavour Emulsion (Flavouring Substances, Stabilizers (445), Colour (102))",100.0,0,0,,,,,
54,194,Gatorade Lemon Zero Sugar Energy Drink,GATORADE,JUICE,SODA,"Water, Dextrose, Acidity Regulator (330), Mineral Salts, Flavour Emulsion (Flavouring Substances), Stabilizers (445), Colour (102)",100.0,0,0,,,,,
55,193,Gatorade Orange Zero Sugar Energy Drink,GATORADE,JUICE,SODA,"Acidity Regulator (INS 330), Dextrose, Flavour Emulsion (Flavouring Substances), Colour (INS 110), Mineral Salts, Stabilizer (INS 444), Sugar, Water",100.0,0,0,,,,,
56,436,Godiva Dark Chocolate Blood Orange Tablet Bar,GODIVA,CHOCOLATE,CHOCOLATE BAR,"Sugar, Cocoa Mass, Blood Orange Solids (3,6%), Cocoa Butter, Butter Oil, Natural VANILLA CAKE Flavouring, Emulsifier (Soy Lecithin), Natural Orange Flavouring, Red Beet Juice Concentrate, Dark Chocolate: Min.Cocoa: 50%",100.0,49,29,,,,,
57,443,Godiva Milk Chocolate Rich & Creamy,GODIVA,CHOCOLATE,CHOCOLATE BAR,"sugar, full cream milk powder, cocoa butter, cocoa mass, butter oil, emulsifier (soy lecithin), natural flavouring.",100.0,55,31,,,,,
58,442,Godiva Salted Caramel Belgian Milk Chocolate,GODIVA,CHOCOLATE,CHOCOLATE BAR,"sugar, full cream milk powder, cocoa butter, cocoa mass, glucose syrup, butter oil, butter, cream, emulsifier (soy lecithin), salt, raising agent (E500 (ii)), natural flavouring.",100.0,58,32,,,,,
59,437,Godiva Signature 72% Cacao Dark Chocolate,GODIVA,CHOCOLATE,CHOCOLATE BAR,"Cocoa mass, Sugar, Cocoa butter, fat reduced Cocoa powdaer, emulsifier(soy lecithin), salt, butter oil(milk). Cocoa solids is 72% minimum.",100.0,26,43,,,,,
60,508,Haribo Goldbaren,HARIBO,CHOCOLATE,CANDY,"Glucose syrup, sugar, gelatine, dextrose, fruit juice from concentrate: apple, strawberry, raspberry, orange, lemon, pineapple, acid: citric acid, fruit concentrates (safflower, spirulina, apple, elderberry, orange, kiwi, lemon, aronia, mango, passion fruit, grape), flavouring, glazing agents: beeswax, carnauba wax",100.0,46,<0.05,,,,,
61,198,Hershey's Chocolate Milkshake,HERSHEYS,JUICE,MILKSHAKE,"Water, Sugar, Milk Solids (8%), Cocoa solids (0.75%), Emulsifier 460(1),Emulsifier 466,Emulsifier 471, Mineral (Calcium carbonate), Sequestrant (339(ii)), Edible common salt, Mineral (Zinc sulphate), Vitamin E (Acetate), Vitamin A (Acetate), VitaminD2(Ergocalciferol), VitaminB1 (Thiamine chloride hydrochloride), Vitamin B2 (Riboflavin)",100.0,21.4,3.71,,,,,
62,375,Hershey's Cookies 'N' Creme CHOCOLATE BAR,HERSHEYS,CHOCOLATE,CHOCOLATE BAR,"Sugar, edible vegetable oil (sunflower and palm oil), cookies (#19%) {refined wheat flour (maida), sugar, edible vegetable oil (palm oil), cocoa solids (#2%), emulsifier (322 (I)), milk solids, raising agent (500ii)}, milk solids (#18.6%), corn syrup solids, edible vegetable oil (palm and palm kernel oil), emulsifier (322 (I)) and flavor (artificial flavouring substance - vanillin)",100.0,48,26.7,,,,,
